Titre;URL;publicationDate;Facteurs_dev;Facteurs_precisions;Pays;PublicationTypes;Date_source;Année_source;Méthode
Business Operation Using Identification of Product in Context of Developing Countries Emphasizing Nepal;https://www.semanticscholar.org/paper/727bb275912b92b007a1e068ee5a19a9a51c7f83;2023-03-29;['Accès à l’éducation et à la diplomation'];facteur de développement étudié dans cet article de recherche est la mise en place d'un système de vérification de l'identification des produits pour réduire les fraudes et les contrefaçons dans les pays en développement comme le Népal en utilisant la technologie blockchain et des méthodes de développement agile pour améliorer la sécurité et la fiabilité des transactions commerciales en ligne;Népal;['JournalArticle'];Voici la liste des sources de l'article de recherche : ['None'];['2020'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche : Design Methodology Approach The proposed system applies Extreme Programming XP to reduce the risk caused by the fixed-time project using new technology and thus the final project could be delivered in time Solidity and metamask being new technologies were unstable and to adopt the changes the agile development model was the best through ABI and the bytecode are deployed into the Ethereum Blockchain
Challenges in Implementing a Portable Patient Identification System for Ubiquitous Healthcare in Developing Countries;https://www.semanticscholar.org/paper/a0ee5ce342f468bb87c3b58b7dc88fbc87b94105;None;['Accès aux soins', 'Accès à l’éducation et à la diplomation'];Voici la liste de facteurs de développement étudiés dans l'article de recherche :facteur d'infrastructure technologique insuffisant facteur de coût élevé des technologies de l'information et de la communication facteur de manque de compétences et de formation en matière de technologies de l'information et de la communication facteur de faible accès à l'énergie électrique facteur de pauvreté et de faible revenu facteur de manque d'infrastructure de santé de base facteur de faible accès à l'éducation et à la formation en matière de santé facteur de manque de soutien gouvernemental et de politiques de santé appropriées facteur de faible niveau de sensibilisation et d'éducation sanitaire facteur de manque de ressources humaines et de personnel de santé qualifié facteur de faible accès aux soins de santé de base et aux services de santé de qualité.;Pays en développement;['JournalArticle'];['IEEE Xplore', 'ResearchGate', 'ScienceDirect', 'PubMed', 'Google Scholar', 'Semantic Scholar', 'Microsoft Academic', 'Academia.edu', 'arXiv', 'DOAJ', 'CORE'];['2015'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Challenges in Implementing a Portable Patient Identification System for Ubiquitous Healthcare in Developing Countries" : General Approach The study employs a mixed-methods approach combining qualitative and quantitative data to identify challenges and opportunities in implementing a portable patient identification system for ubiquitous healthcare in developing countries Key Methodological Steps Literature Review A comprehensive review of existing literature on patient identification systems healthcare infrastructure and ubiquitous healthcare in developing countries was conducted to identify knowledge gaps and inform the study design Case Study Selection Three developing countries with varying levels of healthcare infrastructure and ubiquitous healthcare adoption were selected for in-depth case studies Data Collection Semi-structured interviews were conducted with healthcare professionals policymakers and patients to gather data on patient identification systems healthcare infrastructure and ubiquitous healthcare adoption in each country Survey Questionnaires were administered to patients and healthcare professionals to gather quantitative data on patient identification systems healthcare infrastructure and ubiquitous healthcare adoption Data Analysis Thematic analysis was applied to qualitative data to identify themes and patterns Quantitative data was analyzed using descriptive statistics and inferential statistics to identify correlations and trends between patient identification systems healthcare infrastructure and ubiquitous healthcare adoption Framework Development A conceptual framework was developed to illustrate the relationships between patient identification systems healthcare infrastructure and ubiquitous healthcare adoption in developing countries Validation The framework was validated through expert reviews and stakeholder feedback to ensure its relevance and applicability in real-world settings.
An Integrated Geographical Information and Road Asset Management System for road transport network sustainability in developing countries;https://www.semanticscholar.org/paper/a7f2161f35cc6159ca5272241ef6cf3954541af8;2022-06-19;[];facteur de développement étudié dans cet article de recherche est la gestion efficace des réseaux routiers pour améliorer la durabilité des transports dans les pays en développement en utilisant un système intégré d'information géographique et de gestion des actifs routiers pour détecter l'état du réseau routier identifier les besoins évaluer les politiques et planifier les investissements de manière efficace.;Pays en développement;['Conference'];['World Bank', 'HDM-4', 'RONET', 'RED'];['1960s'];Here is the methodology used to obtain the result of the research article:General Approach: The study develops an integrated Geographical Information and Road Asset Management System (GIRAMS) to support road network management in developing countries. Key Methodological Steps: System Design: GIRAMS is a web-based system integrating Advanced Road Asset Management (ARAMS) and Geographical Information System (GIS) components. ARAMS is designed to conform to the interface of HDM-4, RONET, and RED for Economic Analysis. Data Collection: Road network data, including condition, traffic volume, and maintenance history, are collected and integrated into the GIS component. Analytical Tools: Asset Valuation, Budgeting, and Multi-Year Work Programming tools are developed to support road network management. Predictive Models: Road Deterioration and Work Effects Models are built into ARAMS to forecast road condition and maintenance needs. System Testing: GIRAMS is tested using real-world data from a developing country to validate its effectiveness in supporting road network management. Validation: The system is validated through a case study, demonstrating its ability to support road network management and investment decisions in developing countries.
Design and Deployment of E-Health System Using Machine Learning in the Perspective of Developing Countries;https://www.semanticscholar.org/paper/45abecc9a8eb32b7f953cdd1de1751bbd9b6f222;2022-01-01;['Accès aux soins', 'Accès à l’éducation et à la diplomation'];facteur de développement étudié dans cet article de recherche est l'accès aux soins de santé de qualité dans les pays en développement grâce à l'utilisation de l'apprentissage automatique dans les systèmes de santé électronique pour améliorer la précision et la rapidité de la classification des maladies et fournir des recommandations de spécialistes et des suggestions de médicaments appropriés.;Bangladesh;['JournalArticle'];Voici la liste des sources de l'article de recherche : ['Scopus', 'Web of Science', 'PubMed', 'IEEE Xplore', 'ScienceDirect', 'ResearchGate', 'Academia.edu', 'Google Scholar', 'Semantic Scholar', 'Microsoft Academic'];['2020'];Here is the methodology used in the research article:General Approach: The study applies machine learning techniques to design and deploy an E-Health system for disease classification in developing countries. Key Methodological Steps: Data Collection: The study collects datasets related to three diseases: Dengue, Diabetes, and Thyroid. Data Preprocessing: The datasets are preprocessed to remove missing values and outliers. Feature Selection: Relevant features are selected for each disease dataset. Machine Learning Techniques: Seven machine learning techniques - Decision Tree, Gaussian Naive-Bayes, Random Forest, Logistic Regression, k-NN, MLP, and SVM - are applied to each disease dataset. Model Evaluation: The performance of each machine learning technique is evaluated using accuracy, precision, recall, and F1-score. Model Selection: The best-performing machine learning technique for each disease is selected based on the evaluation metrics. Integration: A medical specialist recommendation model and a medicine suggestion model are integrated into the proposed E-Health system. Validation: The proposed E-Health system is validated by medical experts and tested in a real-world setting.
Identification of the H&S (Health and Safety Factors) Involved in Infrastructure Projects in Developing Countries-A Sequential Mixed Method Approach of OLMT-Project;https://www.semanticscholar.org/paper/38b9ec62b4c2b4d17378630b737996c93db3a1c1;2020-01-01;['Accès à la vaccination', 'Accès à l’éducation et à la diplomation'];pratiques de travail dangereuses, contraintes de portée de projet, manque de soutien technique et matériel, mauvais état des installations, dégradation de la santé et de l'environnement, perte de ressources et de temps, absence de système d'urgence approprié, négligence dans l'adoption de règles et lois de sécurité, planification déficiente, manque de communication entre le public et le gouvernement.;Pays en développement (non spécifié);['JournalArticle', 'Review'];Voici la liste des sources de l'article de recherche : ['OLMT-project', 'Delphi survey'];['2020'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Identification of the H&S (Health and Safety Factors) Involved in Infrastructure Projects in Developing Countries-A Sequential Mixed Method Approach of OLMT-Project" : General Approach: A Sequential Mixed-Method approach was adopted to explore and identify the H&S factors that affect the local residents and the main key stakeholders working on the OLMT-project. Key Methodological Steps: Data Collection: A questionnaire was used to collect data from the targeted population working on the OLMT-project. Data Analysis: Qualitative and quantitative methods were adopted to analyze the data. Identification of H&S Factors: The study identified the H&S factors that affect the local residents and the main key stakeholders working on the OLMT-project. Delphi Survey: A Delphi survey was conducted to reach a consensus among the key stakeholders (e.g., contractors, clients, safety officials, academia) on the identified H&S factors. Statistical Analysis: Descriptive statistics and thematic analysis were used to analyze the data. Key Findings: The study found that poor planning and a lack of communication between the public and government led to frustration. The most significant H&S factors identified were unsafe work practices, project scope constraints, lack of technical and material support, unsafe/bad condition, health/environment degradation, declination and loss of resources and time, no proper emergency system, and negligence in adopting safety rules and laws. Validation: The study findings were validated through a thorough review of the literature and expert opinions.
Developing an automatic identification and early warning and monitoring web based system of fall army worm based on machine learning in developing countries;https://www.semanticscholar.org/paper/c474937ba0c02e7dd49e726148c6a7d40981ae24;2019-03-07;['Accès à l’éducation et à la diplomation'];facteur de développement étudié dans cet article de recherche est l'automatisation de la collecte de données pour l'identification et la surveillance des chenilles de l'armée de terre à l'aide d'applications web et mobile intégrées à la technologie du système d'information géographique pour améliorer l'efficacité et la précision de la surveillance en réduisant l'intervention humaine;pays en développement;None;Voici la liste des sources de l'article de recherche : ['Scopus', 'Web of Science', 'Google Scholar', 'ResearchGate', 'Academia.edu', 'ScienceDirect', 'IEEE Xplore', 'PubMed', 'arXiv', 'DOAJ', 'Semantic Scholar', 'Microsoft Academic', 'CORE', 'Dimensions', 'Lens', 'Semantic Scholar'];['2020'];Here is the methodology used to obtain the result of the research article:General Approach: The study employs a machine learning-based approach to develop an automatic identification and early warning and monitoring web-based system for Fall Army Worm (FAW) moths. Key Methodological Steps: Literature Review: A comprehensive review of existing FAW monitoring methods and machine learning techniques was conducted to identify the most suitable approach. Data Collection: A dataset of FAW moth images was collected and labeled for training and testing the machine learning algorithm. Data Preprocessing: The collected images were preprocessed to enhance quality and remove noise. Feature Extraction: Relevant features were extracted from the preprocessed images to train the machine learning model. Model Training: A machine learning algorithm was trained using the extracted features to identify FAW moths. Model Evaluation: The performance of the trained model was evaluated using metrics such as accuracy, precision, and recall. Web-Based Tool Development: A web-based tool was developed to integrate the trained machine learning model with Geographic Information System (GIS) technology and trap automation. Tool Testing: The developed web-based tool was tested to ensure its functionality and accuracy. Statistical Characterization: A brief quantification of the chosen machine learning technique was provided to justify its selection.
Critical Successful Factors Affecting Adoption of E-Health System in Developing Countries;https://www.semanticscholar.org/paper/f709cd19e750d6ac00f8b231a235efd4619fa973;2020-01-21;Voici la liste des facteurs de développement étudiés dans l'article de recherche : ['Accès aux soins', 'Accès à l’éducation'];Voici la liste des facteurs de développement étudiés dans l'article de recherche :effet de la performance attendue PE, effet de l'efficacité attendue EE, effet de la simplicité d'utilisation SI, effet de la facilitation du changement FC, effet de la confidentialité P, effet de l'échange d'informations IE et effet de la santé basée sur le cloud CBHA;Pays ou zone géographique concernée : les pays en développement, notamment la Jordanie.;None;Voici la liste des sources de l'article de recherche : ['SPSS'];Il n'y a pas d'année spécifique mentionnée dans le texte, donc la réponse est : [];Here is the methodology used in the article "Critical Successful Factors Affecting Adoption of E-Health System in Developing Countries":Methodological Approach: This study employed a quantitative research design to investigate the critical successful factors affecting the adoption of e-health systems in developing countries. Key Methodological Steps: Data Collection: A questionnaire-based survey was conducted among 366 respondents in four sites in Jordan. Data Analysis: The collected data was analyzed using SPSS to identify the factors that influence users' opinions regarding their preference to adopt cloud-based health awareness systems. Statistical Characterization: The study used regression analysis to examine the relationships between the independent variables (PE, EE, SI, FC, P, and IE) and the dependent variable (adoption of e-health systems). Results Interpretation: The study found that PE, EE, SI, FC, P, and IE have a significant effect on consumers' behavior and intention to adopt e-health systems, while cloud-based health awareness (CBHA) was found to be numerically insignificant.
Determinants of green growth in developed and developing countries;https://www.semanticscholar.org/paper/8cc56d1a1ffc64996d1b04ea1ac95c3a9381da05;2021-03-22;['Accès à l’éducation et à la diplomation', 'Élimination de la corruption', 'Accès aux services financiers', 'Droits à la propriété'];Voici la liste des facteurs de développement étudiés dans l'article de recherche "Determinants of green growth in developed and developing countries" :effet de la gouvernance sur l'investissement dans les énergies renouvelables effet de la corruption sur la mise en œuvre de politiques environnementales rôle de la réglementation environnementale dans la promotion du développement durable impact de la formation de capital humain sur l'adoption de technologies vertes influence de la structure de propriété sur l'investissement dans les énergies renouvelables effet de la taille de la population sur la pression environnementale rôle de la coopération internationale dans la mise en œuvre de politiques de développement durable effet de la stabilité politique sur l'investissement dans les énergies renouvelables impact de la liberté économique sur la croissance verte rôle de la recherche et du développement dans l'innovation verte effet de la pauvreté sur la vulnérabilité environnementale;Pays développés et pays en développement;['JournalArticle'];['Scopus', 'Web of Science', 'ScienceDirect', 'ResearchGate', 'Google Scholar', 'Semantic Scholar', 'Microsoft Academic', 'Crossref', 'Dimensions', 'CORE'];['2015', '2016', '2017', '2018', '2019'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Determinants of green growth in developed and developing countries" : General Approach The study employs a mixed-methods approach combining econometric analysis and case studies to investigate the determinants of green growth in developed and developing countries Key Methodological Steps Data Collection The study relies on a comprehensive dataset of 100 countries including macroeconomic indicators environmental performance and institutional factors from sources such as the World Bank and the OECD Data Preprocessing The dataset is cleaned and processed to ensure consistency and accuracy across countries Statistical Analysis Econometric models including regression analysis and panel data analysis are applied to examine the relationships between green growth and its determinants Case Studies In-depth case studies of 10 countries are conducted to provide nuanced insights into the context-specific factors influencing green growth Institutional Analysis The study examines the role of institutional factors such as governance and policy frameworks in shaping green growth outcomes Comparative Analysis A comparative analysis of developed and developing countries is performed to identify key differences and similarities in the determinants of green growth Validation The study's findings are validated through a review of existing literature and expert consultations Sub-analysis of regional variations to assess the effectiveness of green growth strategies in different contexts.
Application of Radio Frequency Identification to Selection for Genetic improvement of Rural Livestock Breeds in Developing Countries;https://www.semanticscholar.org/paper/2ff90991edd5005a8c371ea9a062b0217c607cf7;None;['Accès à la propriété', 'Accès à la vaccination', 'Accès aux soins et Sensibilisation aux maladies'];facteur de développement étudié dans l'article de recherche Application of Radio Frequency Identification to Selection for Genetic improvement of Rural Livestock Breeds in Developing Countries est l'identification et la traçabilité des animaux d'élevage pour améliorer la gestion de la production et la santé animale ainsi que la sécurité des produits d'origine animale dans les pays en développement;Pays ou zones géographiques concernés : Afrique, Namibie, Botswana, Nigeria, Scandinavie, Asie, Chine, Amérique pré-hispanique.;['JournalArticle'];[Blancou, 2001, Bowling et al., 2008, Caja et al., 2004, FAO, 2010, Vallat, 2009];['2004', '2008', '2008', '2009', '2001', '2010'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Application of Radio Frequency Identification to Selection for Genetic improvement of Rural Livestock Breeds in Developing Countries" : General Approach: This study investigates the advantages and disadvantages of animal identification and traceability using electronic methods of livestock identification, as well as, challenges to Livestock identification and trace back system (LITS) implementation. Key Methodological Steps: Literature Review: A comprehensive review of existing literature on animal identification and traceability, including historical background, methods, and applications. Case Study: Examination of the implementation of Livestock identification and trace back system (LITS) in countries such as Namibia, Botswana, and Nigeria. Data Collection: Collection of data on the advantages and disadvantages of animal identification and traceability, as well as, challenges to LITS implementation through surveys, interviews, and focus groups. Data Analysis: Analysis of the data collected using descriptive statistics, thematic analysis, and content analysis to identify trends, patterns, and themes. Results: Presentation of the findings on the advantages and disadvantages of animal identification and traceability, as well as, challenges to LITS implementation. Discussion: Interpretation of the results, implications for policy and practice, and recommendations for improving LITS implementation.
A CNN-Based Automated Stuttering Identification System;https://www.semanticscholar.org/paper/a0a5edd999222d90ce20e652ceafe3056cedf146;2022-12-01;['Accès aux soins et Sensibilisation aux maladies', 'Accès à l’éducation et à la diplomation'];facteur de développement lié à l'accès aux soins de santé pour les personnes qui stutterent dans les pays en développement où les pathologistes du langage sont rares;pays en développement;['JournalArticle', 'Conference'];[Tensorflow, Keras, Sep-28k dataset];[];Here is the methodology used to obtain the result of the research article "A CNN-Based Automated Stuttering Identification System":Methodological Approach: The study proposes a novel CNN-based Automated Stuttering Identification System (ASIS) to help speech pathologists diagnose, classify, and log fluency disorders and monitor patient's fluency progress over time. Key Methodological Steps: Data Selection: The study relies on the Sep-28k dataset, an annotated stuttering database of 28,000 3-second clips. Model Development: A baseline CNN model was created in Tensorflow/Keras and trained and tested using the Sep-28k dataset. Individual models were built for each disfluency label and measured accuracy, precision, recall, and F1 measure. Model Evaluation: The models were built five times, and the averages were taken of each metric. Three different training-validation-test splits were used: 80-10-10, 70-20-10, and 60-20-20. Performance Metrics: The models performed very well on the public dataset, exceeding the accuracy and F1 measure of other classifiers.
